Test: AggAll, Class: DenseMatrix, Size: 500, Valuetype: double, Execution time: 1μs
Test: AggAll, Class: DenseMatrix, Size: 1000, Valuetype: double, Execution time: 2μs
Test: AggAll, Class: DenseMatrix, Size: 10000, Valuetype: double, Execution time: 20μs
Test: AggAll, Class: DenseMatrix, Size: 100000, Valuetype: double, Execution time: 200μs
Test: AggAll, Class: DenseMatrix, Size: 1000000, Valuetype: double, Execution time: 2364μs
Test: AggAll, Class: DenseMatrix, Size: 500, Valuetype: uint8_t, Execution time: 2μs
Test: AggAll, Class: DenseMatrix, Size: 1000, Valuetype: uint8_t, Execution time: 2μs
Test: AggAll, Class: DenseMatrix, Size: 10000, Valuetype: uint8_t, Execution time: 24μs
Test: AggAll, Class: DenseMatrix, Size: 100000, Valuetype: uint8_t, Execution time: 238μs
Test: AggAll, Class: DenseMatrix, Size: 1000000, Valuetype: uint8_t, Execution time: 2437μs
Test: AggAll, Class: CSRMatrix, Size: 500, Valuetype: double, Execution time: 1μs
Test: AggAll, Class: CSRMatrix, Size: 1000, Valuetype: double, Execution time: 2μs
Test: AggAll, Class: CSRMatrix, Size: 10000, Valuetype: double, Execution time: 19μs
Test: AggAll, Class: CSRMatrix, Size: 100000, Valuetype: double, Execution time: 193μs
Test: AggAll, Class: CSRMatrix, Size: 1000000, Valuetype: double, Execution time: 1986μs
Test: AggAll, Class: CSRMatrix, Size: 500, Valuetype: uint8_t, Execution time: 2μs
Test: AggAll, Class: CSRMatrix, Size: 1000, Valuetype: uint8_t, Execution time: 3μs
Test: AggAll, Class: CSRMatrix, Size: 10000, Valuetype: uint8_t, Execution time: 36μs
Test: AggAll, Class: CSRMatrix, Size: 100000, Valuetype: uint8_t, Execution time: 366μs
Test: AggAll, Class: CSRMatrix, Size: 1000000, Valuetype: uint8_t, Execution time: 3754μs
Test: AggAll, Class: COOMatrix, Size: 500, Valuetype: double, Execution time: 2μs
Test: AggAll, Class: COOMatrix, Size: 1000, Valuetype: double, Execution time: 4μs
Test: AggAll, Class: COOMatrix, Size: 10000, Valuetype: double, Execution time: 45μs
Test: AggAll, Class: COOMatrix, Size: 100000, Valuetype: double, Execution time: 513μs
Test: AggAll, Class: COOMatrix, Size: 1000000, Valuetype: double, Execution time: 5326μs
Test: AggAll, Class: COOMatrix, Size: 500, Valuetype: uint8_t, Execution time: 3μs
Test: AggAll, Class: COOMatrix, Size: 1000, Valuetype: uint8_t, Execution time: 4μs
Test: AggAll, Class: COOMatrix, Size: 10000, Valuetype: uint8_t, Execution time: 54μs
Test: AggAll, Class: COOMatrix, Size: 100000, Valuetype: uint8_t, Execution time: 470μs
Test: AggAll, Class: COOMatrix, Size: 1000000, Valuetype: uint8_t, Execution time: 4830μs
