Test: AggCol, Class: DenseMatrix, Size: 500, Valuetype: double, Execution time: 2μs
Test: AggCol, Class: DenseMatrix, Size: 1000, Valuetype: double, Execution time: 3μs
Test: AggCol, Class: DenseMatrix, Size: 10000, Valuetype: double, Execution time: 18μs
Test: AggCol, Class: DenseMatrix, Size: 100000, Valuetype: double, Execution time: 185μs
Test: AggCol, Class: DenseMatrix, Size: 1000000, Valuetype: double, Execution time: 1941μs
Test: AggCol, Class: DenseMatrix, Size: 500, Valuetype: uint8_t, Execution time: 3μs
Test: AggCol, Class: DenseMatrix, Size: 1000, Valuetype: uint8_t, Execution time: 3μs
Test: AggCol, Class: DenseMatrix, Size: 10000, Valuetype: uint8_t, Execution time: 22μs
Test: AggCol, Class: DenseMatrix, Size: 100000, Valuetype: uint8_t, Execution time: 218μs
Test: AggCol, Class: DenseMatrix, Size: 1000000, Valuetype: uint8_t, Execution time: 2183μs
Test: AggCol, Class: CSRMatrix, Size: 500, Valuetype: double, Execution time: 4μs
Test: AggCol, Class: CSRMatrix, Size: 1000, Valuetype: double, Execution time: 3μs
Test: AggCol, Class: CSRMatrix, Size: 10000, Valuetype: double, Execution time: 25μs
Test: AggCol, Class: CSRMatrix, Size: 100000, Valuetype: double, Execution time: 331μs
Test: AggCol, Class: CSRMatrix, Size: 1000000, Valuetype: double, Execution time: 2667μs
Test: AggCol, Class: CSRMatrix, Size: 500, Valuetype: uint8_t, Execution time: 5μs
Test: AggCol, Class: CSRMatrix, Size: 1000, Valuetype: uint8_t, Execution time: 3μs
Test: AggCol, Class: CSRMatrix, Size: 10000, Valuetype: uint8_t, Execution time: 20μs
Test: AggCol, Class: CSRMatrix, Size: 100000, Valuetype: uint8_t, Execution time: 198μs
Test: AggCol, Class: CSRMatrix, Size: 1000000, Valuetype: uint8_t, Execution time: 2053μs
Test: AggCol, Class: COOMatrix, Size: 500, Valuetype: double, Execution time: 5μs
Test: AggCol, Class: COOMatrix, Size: 1000, Valuetype: double, Execution time: 4μs
Test: AggCol, Class: COOMatrix, Size: 10000, Valuetype: double, Execution time: 31μs
Test: AggCol, Class: COOMatrix, Size: 100000, Valuetype: double, Execution time: 335μs
Test: AggCol, Class: COOMatrix, Size: 1000000, Valuetype: double, Execution time: 3449μs
Test: AggCol, Class: COOMatrix, Size: 500, Valuetype: uint8_t, Execution time: 7μs
Test: AggCol, Class: COOMatrix, Size: 1000, Valuetype: uint8_t, Execution time: 4μs
Test: AggCol, Class: COOMatrix, Size: 10000, Valuetype: uint8_t, Execution time: 33μs
Test: AggCol, Class: COOMatrix, Size: 100000, Valuetype: uint8_t, Execution time: 414μs
Test: AggCol, Class: COOMatrix, Size: 1000000, Valuetype: uint8_t, Execution time: 3869μs
