Test: AggRow, Class: DenseMatrix, Size: 500, Valuetype: double, Execution time: 3μs
Test: AggRow, Class: DenseMatrix, Size: 1000, Valuetype: double, Execution time: 2μs
Test: AggRow, Class: DenseMatrix, Size: 10000, Valuetype: double, Execution time: 16μs
Test: AggRow, Class: DenseMatrix, Size: 100000, Valuetype: double, Execution time: 162μs
Test: AggRow, Class: DenseMatrix, Size: 1000000, Valuetype: double, Execution time: 1623μs
Test: AggRow, Class: DenseMatrix, Size: 500, Valuetype: uint8_t, Execution time: 2μs
Test: AggRow, Class: DenseMatrix, Size: 1000, Valuetype: uint8_t, Execution time: 2μs
Test: AggRow, Class: DenseMatrix, Size: 10000, Valuetype: uint8_t, Execution time: 17μs
Test: AggRow, Class: DenseMatrix, Size: 100000, Valuetype: uint8_t, Execution time: 155μs
Test: AggRow, Class: DenseMatrix, Size: 1000000, Valuetype: uint8_t, Execution time: 1543μs
Test: AggRow, Class: CSRMatrix, Size: 500, Valuetype: double, Execution time: 2μs
Test: AggRow, Class: CSRMatrix, Size: 1000, Valuetype: double, Execution time: 2μs
Test: AggRow, Class: CSRMatrix, Size: 10000, Valuetype: double, Execution time: 17μs
Test: AggRow, Class: CSRMatrix, Size: 100000, Valuetype: double, Execution time: 156μs
Test: AggRow, Class: CSRMatrix, Size: 1000000, Valuetype: double, Execution time: 1561μs
Test: AggRow, Class: CSRMatrix, Size: 500, Valuetype: uint8_t, Execution time: 4μs
Test: AggRow, Class: CSRMatrix, Size: 1000, Valuetype: uint8_t, Execution time: 2μs
Test: AggRow, Class: CSRMatrix, Size: 10000, Valuetype: uint8_t, Execution time: 17μs
Test: AggRow, Class: CSRMatrix, Size: 100000, Valuetype: uint8_t, Execution time: 149μs
Test: AggRow, Class: CSRMatrix, Size: 1000000, Valuetype: uint8_t, Execution time: 1547μs
Test: AggRow, Class: COOMatrix, Size: 500, Valuetype: double, Execution time: 8μs
Test: AggRow, Class: COOMatrix, Size: 1000, Valuetype: double, Execution time: 11μs
Test: AggRow, Class: COOMatrix, Size: 10000, Valuetype: double, Execution time: 91μs
Test: AggRow, Class: COOMatrix, Size: 100000, Valuetype: double, Execution time: 933μs
Test: AggRow, Class: COOMatrix, Size: 1000000, Valuetype: double, Execution time: 9472μs
Test: AggRow, Class: COOMatrix, Size: 500, Valuetype: uint8_t, Execution time: 10μs
Test: AggRow, Class: COOMatrix, Size: 1000, Valuetype: uint8_t, Execution time: 10μs
Test: AggRow, Class: COOMatrix, Size: 10000, Valuetype: uint8_t, Execution time: 98μs
Test: AggRow, Class: COOMatrix, Size: 100000, Valuetype: uint8_t, Execution time: 953μs
Test: AggRow, Class: COOMatrix, Size: 1000000, Valuetype: uint8_t, Execution time: 10145μs
