Test: AggRow, Class: DenseMatrix, Size: 500, Valuetype: double, Execution time: 3μs
Test: AggRow, Class: DenseMatrix, Size: 1000, Valuetype: double, Execution time: 3μs
Test: AggRow, Class: DenseMatrix, Size: 10000, Valuetype: double, Execution time: 21μs
Test: AggRow, Class: DenseMatrix, Size: 100000, Valuetype: double, Execution time: 215μs
Test: AggRow, Class: DenseMatrix, Size: 1000000, Valuetype: double, Execution time: 4199μs
Test: AggRow, Class: DenseMatrix, Size: 500, Valuetype: uint8_t, Execution time: 1μs
Test: AggRow, Class: DenseMatrix, Size: 1000, Valuetype: uint8_t, Execution time: 2μs
Test: AggRow, Class: DenseMatrix, Size: 10000, Valuetype: uint8_t, Execution time: 12μs
Test: AggRow, Class: DenseMatrix, Size: 100000, Valuetype: uint8_t, Execution time: 113μs
Test: AggRow, Class: DenseMatrix, Size: 1000000, Valuetype: uint8_t, Execution time: 1169μs
Test: AggRow, Class: CSRMatrix, Size: 500, Valuetype: double, Execution time: 5μs
Test: AggRow, Class: CSRMatrix, Size: 1000, Valuetype: double, Execution time: 7μs
Test: AggRow, Class: CSRMatrix, Size: 10000, Valuetype: double, Execution time: 37μs
Test: AggRow, Class: CSRMatrix, Size: 100000, Valuetype: double, Execution time: 428μs
Test: AggRow, Class: CSRMatrix, Size: 1000000, Valuetype: double, Execution time: 8625μs
Test: AggRow, Class: CSRMatrix, Size: 500, Valuetype: uint8_t, Execution time: 4μs
Test: AggRow, Class: CSRMatrix, Size: 1000, Valuetype: uint8_t, Execution time: 7μs
Test: AggRow, Class: CSRMatrix, Size: 10000, Valuetype: uint8_t, Execution time: 37μs
Test: AggRow, Class: CSRMatrix, Size: 100000, Valuetype: uint8_t, Execution time: 390μs
Test: AggRow, Class: CSRMatrix, Size: 1000000, Valuetype: uint8_t, Execution time: 6570μs
Test: AggRow, Class: COOMatrix, Size: 500, Valuetype: double, Execution time: 38μs
Test: AggRow, Class: COOMatrix, Size: 1000, Valuetype: double, Execution time: 66μs
Test: AggRow, Class: COOMatrix, Size: 10000, Valuetype: double, Execution time: 638μs
Test: AggRow, Class: COOMatrix, Size: 100000, Valuetype: double, Execution time: 6273μs
Test: AggRow, Class: COOMatrix, Size: 1000000, Valuetype: double, Execution time: 69869μs
Test: AggRow, Class: COOMatrix, Size: 500, Valuetype: uint8_t, Execution time: 36μs
Test: AggRow, Class: COOMatrix, Size: 1000, Valuetype: uint8_t, Execution time: 63μs
Test: AggRow, Class: COOMatrix, Size: 10000, Valuetype: uint8_t, Execution time: 586μs
Test: AggRow, Class: COOMatrix, Size: 100000, Valuetype: uint8_t, Execution time: 5831μs
Test: AggRow, Class: COOMatrix, Size: 1000000, Valuetype: uint8_t, Execution time: 68339μs
