Test: EwUnary, Class: DenseMatrix, Size: 500, Valuetype: double, Execution time: 4μs
Test: EwUnary, Class: DenseMatrix, Size: 1000, Valuetype: double, Execution time: 6μs
Test: EwUnary, Class: DenseMatrix, Size: 10000, Valuetype: double, Execution time: 47μs
Test: EwUnary, Class: DenseMatrix, Size: 100000, Valuetype: double, Execution time: 461μs
Test: EwUnary, Class: DenseMatrix, Size: 1000000, Valuetype: double, Execution time: 7958μs
Test: EwUnary, Class: DenseMatrix, Size: 500, Valuetype: uint8_t, Execution time: 3μs
Test: EwUnary, Class: DenseMatrix, Size: 1000, Valuetype: uint8_t, Execution time: 4μs
Test: EwUnary, Class: DenseMatrix, Size: 10000, Valuetype: uint8_t, Execution time: 36μs
Test: EwUnary, Class: DenseMatrix, Size: 100000, Valuetype: uint8_t, Execution time: 303μs
Test: EwUnary, Class: DenseMatrix, Size: 1000000, Valuetype: uint8_t, Execution time: 3028μs
Test: EwUnary, Class: COOMatrix, Size: 500, Valuetype: double, Execution time: 7μs
Test: EwUnary, Class: COOMatrix, Size: 1000, Valuetype: double, Execution time: 7μs
Test: EwUnary, Class: COOMatrix, Size: 10000, Valuetype: double, Execution time: 68μs
Test: EwUnary, Class: COOMatrix, Size: 100000, Valuetype: double, Execution time: 731μs
Test: EwUnary, Class: COOMatrix, Size: 1000000, Valuetype: double, Execution time: 11859μs
Test: EwUnary, Class: COOMatrix, Size: 500, Valuetype: uint8_t, Execution time: 8μs
Test: EwUnary, Class: COOMatrix, Size: 1000, Valuetype: uint8_t, Execution time: 5μs
Test: EwUnary, Class: COOMatrix, Size: 10000, Valuetype: uint8_t, Execution time: 36μs
Test: EwUnary, Class: COOMatrix, Size: 100000, Valuetype: uint8_t, Execution time: 365μs
Test: EwUnary, Class: COOMatrix, Size: 1000000, Valuetype: uint8_t, Execution time: 4364μs
