Test: GenGivenVals, Class: DenseMatrix, Size: 500, Valuetype: double, Execution time: 4μs
Test: GenGivenVals, Class: DenseMatrix, Size: 1000, Valuetype: double, Execution time: 0μs
Test: GenGivenVals, Class: DenseMatrix, Size: 10000, Valuetype: double, Execution time: 4μs
Test: GenGivenVals, Class: DenseMatrix, Size: 100000, Valuetype: double, Execution time: 45μs
Test: GenGivenVals, Class: DenseMatrix, Size: 1000000, Valuetype: double, Execution time: 3358μs
Test: GenGivenVals, Class: DenseMatrix, Size: 500, Valuetype: uint8_t, Execution time: 3μs
Test: GenGivenVals, Class: DenseMatrix, Size: 1000, Valuetype: uint8_t, Execution time: 0μs
Test: GenGivenVals, Class: DenseMatrix, Size: 10000, Valuetype: uint8_t, Execution time: 0μs
Test: GenGivenVals, Class: DenseMatrix, Size: 100000, Valuetype: uint8_t, Execution time: 4μs
Test: GenGivenVals, Class: DenseMatrix, Size: 1000000, Valuetype: uint8_t, Execution time: 53μs
Test: GenGivenVals, Class: CSRMatrix, Size: 500, Valuetype: double, Execution time: 2μs
Test: GenGivenVals, Class: CSRMatrix, Size: 1000, Valuetype: double, Execution time: 2μs
Test: GenGivenVals, Class: CSRMatrix, Size: 10000, Valuetype: double, Execution time: 24μs
Test: GenGivenVals, Class: CSRMatrix, Size: 100000, Valuetype: double, Execution time: 250μs
Test: GenGivenVals, Class: CSRMatrix, Size: 1000000, Valuetype: double, Execution time: 4343μs
Test: GenGivenVals, Class: CSRMatrix, Size: 500, Valuetype: uint8_t, Execution time: 1μs
Test: GenGivenVals, Class: CSRMatrix, Size: 1000, Valuetype: uint8_t, Execution time: 2μs
Test: GenGivenVals, Class: CSRMatrix, Size: 10000, Valuetype: uint8_t, Execution time: 18μs
Test: GenGivenVals, Class: CSRMatrix, Size: 100000, Valuetype: uint8_t, Execution time: 171μs
Test: GenGivenVals, Class: CSRMatrix, Size: 1000000, Valuetype: uint8_t, Execution time: 1725μs
Test: GenGivenVals, Class: COOMatrix, Size: 500, Valuetype: double, Execution time: 3μs
Test: GenGivenVals, Class: COOMatrix, Size: 1000, Valuetype: double, Execution time: 4μs
Test: GenGivenVals, Class: COOMatrix, Size: 10000, Valuetype: double, Execution time: 35μs
Test: GenGivenVals, Class: COOMatrix, Size: 100000, Valuetype: double, Execution time: 351μs
Test: GenGivenVals, Class: COOMatrix, Size: 1000000, Valuetype: double, Execution time: 5970μs
Test: GenGivenVals, Class: COOMatrix, Size: 500, Valuetype: uint8_t, Execution time: 2μs
Test: GenGivenVals, Class: COOMatrix, Size: 1000, Valuetype: uint8_t, Execution time: 4μs
Test: GenGivenVals, Class: COOMatrix, Size: 10000, Valuetype: uint8_t, Execution time: 33μs
Test: GenGivenVals, Class: COOMatrix, Size: 100000, Valuetype: uint8_t, Execution time: 335μs
Test: GenGivenVals, Class: COOMatrix, Size: 1000000, Valuetype: uint8_t, Execution time: 3343μs
