Test: Get, Class: DenseMatrix, Size: 250000, Get count: 250000, Valuetype: double, Execution time: 26481μs
Test: Set, Class: DenseMatrix, Size: 250000, Set count: 250000, Valuetype: double, Execution time: 27336μs
Test: Append, Class: DenseMatrix, Size: 250000, Append count: 250000, Valuetype: double, Execution time: 6132μs
Test: View, Class: DenseMatrix, Size: 250000, Count: 250000, Valuetype: double, Difference from original to view: -21.3582%
Test: Get, Class: DenseMatrix, Size: 250000, Get count: 250000, Valuetype: uint8_t, Execution time: 22091μs
Test: Set, Class: DenseMatrix, Size: 250000, Set count: 250000, Valuetype: uint8_t, Execution time: 28244μs
Test: Append, Class: DenseMatrix, Size: 250000, Append count: 250000, Valuetype: uint8_t, Execution time: 4191μs
Test: View, Class: DenseMatrix, Size: 250000, Count: 250000, Valuetype: uint8_t, Difference from original to view: 6.04822%
Test: Get, Class: CSRMatrix, Size: 250000, Get count: 250000, Valuetype: double, Execution time: 51222μs
Test: Set, Class: CSRMatrix, Size: 250000, Set count: 250000, Valuetype: double, Execution time: 10111804μs
Test: Append, Class: CSRMatrix, Size: 250000, Append count: 250000, Valuetype: double, Execution time: 6512μs
Test: View, Class: CSRMatrix, Size: 250000, Count: 250000, Valuetype: double, Difference from original to view: -6.45636%
Test: Get, Class: CSRMatrix, Size: 250000, Get count: 250000, Valuetype: uint8_t, Execution time: 65369μs
Test: Set, Class: CSRMatrix, Size: 250000, Set count: 250000, Valuetype: uint8_t, Execution time: 9805443μs
Test: Append, Class: CSRMatrix, Size: 250000, Append count: 250000, Valuetype: uint8_t, Execution time: 2600μs
Test: View, Class: CSRMatrix, Size: 250000, Count: 250000, Valuetype: uint8_t, Difference from original to view: -45.3879%
Test: Get, Class: COOMatrix, Size: 250000, Get count: 250000, Valuetype: double, Execution time: 5425μs
Test: Set, Class: COOMatrix, Size: 250000, Set count: 250000, Valuetype: double, Execution time: 36784296μs
Test: Append, Class: COOMatrix, Size: 250000, Append count: 250000, Valuetype: double, Execution time: 5386μs
Test: View, Class: COOMatrix, Size: 250000, Count: 250000, Valuetype: double, Difference from original to view: -2.70848%
Test: Get, Class: COOMatrix, Size: 250000, Get count: 250000, Valuetype: uint8_t, Execution time: 5642μs
Test: Set, Class: COOMatrix, Size: 250000, Set count: 250000, Valuetype: uint8_t, Execution time: 26239837μs
Test: Append, Class: COOMatrix, Size: 250000, Append count: 250000, Valuetype: uint8_t, Execution time: 2693μs
Test: View, Class: COOMatrix, Size: 250000, Count: 250000, Valuetype: uint8_t, Difference from original to view: -0.236125%
