Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.01, Valuetype: double, Execution time: 457μs
Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.03, Valuetype: double, Execution time: 422μs
Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.05, Valuetype: double, Execution time: 525μs
Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.1, Valuetype: double, Execution time: 531μs
Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.3, Valuetype: double, Execution time: 709μs
Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.5, Valuetype: double, Execution time: 734μs
Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.7, Valuetype: double, Execution time: 684μs
Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.9, Valuetype: double, Execution time: 634μs
Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.95, Valuetype: double, Execution time: 632μs
Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.01, Valuetype: uint8_t, Execution time: 257μs
Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.03, Valuetype: uint8_t, Execution time: 258μs
Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.05, Valuetype: uint8_t, Execution time: 249μs
Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.1, Valuetype: uint8_t, Execution time: 249μs
Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.3, Valuetype: uint8_t, Execution time: 249μs
Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.5, Valuetype: uint8_t, Execution time: 276μs
Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.7, Valuetype: uint8_t, Execution time: 276μs
Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.9, Valuetype: uint8_t, Execution time: 261μs
Test: Transpose, Class: DenseMatrix, Size: 500x500, Sparsity: 0.95, Valuetype: uint8_t, Execution time: 269μs
Test: Transpose, Class: CSRMatrix, Size: 500x500, Sparsity: 0.01, Valuetype: double, Execution time: 621μs
