Test: Random, Class: DenseMatrix, Size: 500x500, Sparsity: 0.01, Valuetype: double, Execution time: 16157μs
Test: Random, Class: DenseMatrix, Size: 500x500, Sparsity: 0.03, Valuetype: double, Execution time: 15399μs
Test: Random, Class: DenseMatrix, Size: 500x500, Sparsity: 0.05, Valuetype: double, Execution time: 15476μs
Test: Random, Class: DenseMatrix, Size: 500x500, Sparsity: 0.1, Valuetype: double, Execution time: 16954μs
Test: Random, Class: DenseMatrix, Size: 500x500, Sparsity: 0.3, Valuetype: double, Execution time: 17368μs
Test: Random, Class: DenseMatrix, Size: 500x500, Sparsity: 0.5, Valuetype: double, Execution time: 24789μs
Test: Random, Class: DenseMatrix, Size: 500x500, Sparsity: 0.7, Valuetype: double, Execution time: 23381μs
Test: Random, Class: DenseMatrix, Size: 500x500, Sparsity: 0.9, Valuetype: double, Execution time: 23460μs
Test: Random, Class: DenseMatrix, Size: 500x500, Sparsity: 0.95, Valuetype: double, Execution time: 24142μs
Test: Random, Class: DenseMatrix, Size: 500x500, Sparsity: 0.01, Valuetype: uint8_t, Execution time: 13792μs
Test: Random, Class: DenseMatrix, Size: 500x500, Sparsity: 0.03, Valuetype: uint8_t, Execution time: 14160μs
Test: Random, Class: DenseMatrix, Size: 500x500, Sparsity: 0.05, Valuetype: uint8_t, Execution time: 14922μs
Test: Random, Class: DenseMatrix, Size: 500x500, Sparsity: 0.1, Valuetype: uint8_t, Execution time: 15341μs
Test: Random, Class: DenseMatrix, Size: 500x500, Sparsity: 0.3, Valuetype: uint8_t, Execution time: 17373μs
Test: Random, Class: DenseMatrix, Size: 500x500, Sparsity: 0.5, Valuetype: uint8_t, Execution time: 21255μs
Test: Random, Class: DenseMatrix, Size: 500x500, Sparsity: 0.7, Valuetype: uint8_t, Execution time: 22640μs
Test: Random, Class: DenseMatrix, Size: 500x500, Sparsity: 0.9, Valuetype: uint8_t, Execution time: 19477μs
Test: Random, Class: DenseMatrix, Size: 500x500, Sparsity: 0.95, Valuetype: uint8_t, Execution time: 19993μs
Test: Random, Class: CSRMatrix, Size: 500x500, Sparsity: 0.01, Valuetype: double, Execution time: 478μs
Test: Random, Class: CSRMatrix, Size: 500x500, Sparsity: 0.03, Valuetype: double, Execution time: 1888μs
Test: Random, Class: CSRMatrix, Size: 500x500, Sparsity: 0.05, Valuetype: double, Execution time: 2615μs
Test: Random, Class: CSRMatrix, Size: 500x500, Sparsity: 0.1, Valuetype: double, Execution time: 5727μs
Test: Random, Class: CSRMatrix, Size: 500x500, Sparsity: 0.3, Valuetype: double, Execution time: 20069μs
Test: Random, Class: CSRMatrix, Size: 500x500, Sparsity: 0.5, Valuetype: double, Execution time: 37435μs
Test: Random, Class: CSRMatrix, Size: 500x500, Sparsity: 0.7, Valuetype: double, Execution time: 33948μs
Test: Random, Class: CSRMatrix, Size: 500x500, Sparsity: 0.9, Valuetype: double, Execution time: 15345μs
Test: Random, Class: CSRMatrix, Size: 500x500, Sparsity: 0.95, Valuetype: double, Execution time: 9874μs
Test: Random, Class: CSRMatrix, Size: 500x500, Sparsity: 0.01, Valuetype: uint8_t, Execution time: 322μs
Test: Random, Class: CSRMatrix, Size: 500x500, Sparsity: 0.03, Valuetype: uint8_t, Execution time: 1460μs
Test: Random, Class: CSRMatrix, Size: 500x500, Sparsity: 0.05, Valuetype: uint8_t, Execution time: 2450μs
Test: Random, Class: CSRMatrix, Size: 500x500, Sparsity: 0.1, Valuetype: uint8_t, Execution time: 5306μs
Test: Random, Class: CSRMatrix, Size: 500x500, Sparsity: 0.3, Valuetype: uint8_t, Execution time: 19769μs
Test: Random, Class: CSRMatrix, Size: 500x500, Sparsity: 0.5, Valuetype: uint8_t, Execution time: 40503μs
Test: Random, Class: CSRMatrix, Size: 500x500, Sparsity: 0.7, Valuetype: uint8_t, Execution time: 36868μs
Test: Random, Class: CSRMatrix, Size: 500x500, Sparsity: 0.9, Valuetype: uint8_t, Execution time: 14796μs
Test: Random, Class: CSRMatrix, Size: 500x500, Sparsity: 0.95, Valuetype: uint8_t, Execution time: 8793μs
Test: Random, Class: COOMatrix, Size: 500x500, Sparsity: 0.01, Valuetype: double, Execution time: 1001μs
Test: Random, Class: COOMatrix, Size: 500x500, Sparsity: 0.03, Valuetype: double, Execution time: 3232μs
Test: Random, Class: COOMatrix, Size: 500x500, Sparsity: 0.05, Valuetype: double, Execution time: 4095μs
Test: Random, Class: COOMatrix, Size: 500x500, Sparsity: 0.1, Valuetype: double, Execution time: 8317μs
Test: Random, Class: COOMatrix, Size: 500x500, Sparsity: 0.3, Valuetype: double, Execution time: 27137μs
Test: Random, Class: COOMatrix, Size: 500x500, Sparsity: 0.5, Valuetype: double, Execution time: 45511μs
Test: Random, Class: COOMatrix, Size: 500x500, Sparsity: 0.7, Valuetype: double, Execution time: 65473μs
Test: Random, Class: COOMatrix, Size: 500x500, Sparsity: 0.9, Valuetype: double, Execution time: 88826μs
Test: Random, Class: COOMatrix, Size: 500x500, Sparsity: 0.95, Valuetype: double, Execution time: 101805μs
